attack_label,log_type,eventdate,type,dvc_host,dvc_group,action,src_port,dst_port,application,src_zone,dst_zone,signature,id_signature,message,evento,server_bytes,count,suppression_start_time,page,src_location,suppression_end_time,dst_region,cci,dst_location,dst_country,dst_timezone,user,ur_normalized,resp_cnt,site,src_longitude,client_bytes,ccl,numbytes,conn_duration,event_type,app,url,dst_latitude,policy,dst_longitude,other_categories,src_time,req_cnt,dst_zipcode,traffic_type,category,src_region,appcategory,userkey,netskope_pop,http_transaction_count,ssl_decrypt_policy,bypass_traffic,user_generated,bypass_reason,resp_content_len,conn_endtime,domain,conn_starttime,browser_session_id,request_id,incident_id,_id,threat_source_id,connection_id,policy_id,app_session_id,transaction_id,dlp_parent_id,dlp_incident_id,malsite_id,severity_level_id,host_name,users,endpoint_id,external_id,_eventdate,Unnamed: 0,ts,metadata.origin.data.agent,data,sm.dsn,sm.mailer,sm.to,sm.stat,sm.xdelay,sm.pri,sm.relay,sm.delay,tls.cipher,tls.verify,tls.version,pps.agent,guid,msg.normalizedHeader.message-id,msg.header.message-id,connection.sid,metadata.origin.data.cid,filter.qid,filter.modules.dmarc.srvid,id,metadata.customerId,sm.qid,pps.cid,sm.msgid,filter.origGuid,local_quarantine.body.folder_id,local_quarantine.body.msg_id
0,0,,,,,,,,,,,,,,12660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9641393508485406,64.0,2.0,60.0,9.0,2.0,0.0,158.0,1.0,0.175188603325768,58.0,9566.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639137922945192,0.0,0.7934395751389398,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,13491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9641389223034982,66.0,2.0,62.0,9.0,2.0,0.0,158.0,2.0,0.6566765465358972,62.0,54669.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9639133035665411,0.0,0.788688153892702,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,62843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4927869523402622,4885.0,10.0,4383.0,9.0,1.0,0.0,156.0,5.0,0.6006447844267524,58.0,53312.0,4.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4936844719438217,0.0,0.5379952457477787,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,69673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9623288013698832,228.0,11.0,205.0,9.0,1.0,0.0,174.0,5.0,0.3122551584117284,66.0,18539.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961301859510536,0.0,0.9348263207554034,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,14355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8429587106683915,168.0,2.0,143.0,9.0,1.0,0.0,170.0,1.0,0.276609890013685,57.0,13429.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8450377798860985,0.0,0.8057382633406234,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,63138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3280444407329408,25045.0,10.0,21253.0,9.0,2.0,0.0,140.0,3.0,0.2941634065918984,59.0,12475.0,3.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3299982644774212,0.0,0.5015244596131969,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,77724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8429747107415347,205.0,13.0,174.0,2.0,1.0,0.0,4250.0,3.0,0.0028734569564199,529.0,3.0,4.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845056075230456,0.0,0.8057812266642661,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,87166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4928304306263366,4966.0,14.0,4450.0,9.0,1.0,0.0,156.0,1.0,0.0338409301843731,55.0,3640.0,4.0,3.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937270836981409,0.0,0.073995737751383,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,52861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8809078515850473,442.0,9.0,377.0,9.0,1.0,0.0,147.0,5.0,0.1082023545801544,71.0,24187.0,3.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8830344566286877,0.0,0.7822261743700093,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,1184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.969133711417139,299.0,1.0,268.0,9.0,2.0,0.0,186.0,3.0,0.0482270600148102,46.0,4302.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9692075389164388,0.0,0.9337698172190502,0.0,0.0,0.0,0.0,0.0
